Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40835438),Jonathan Taylor,40835438,RB/FLEX,10000,IND@KC 11/23/2025 01:00PM ET,IND,28.89
WR,Jaxon Smith-Njigba (40835692),Jaxon Smith-Njigba,40835692,WR/FLEX,9000,SEA@TEN 11/23/2025 01:00PM ET,SEA,23.99
RB,Bijan Robinson (40835440),Bijan Robinson,40835440,RB/FLEX,8500,ATL@NO 11/23/2025 04:25PM ET,ATL,22.59
RB,Jahmyr Gibbs (40835442),Jahmyr Gibbs,40835442,RB/FLEX,8300,NYG@DET 11/23/2025 01:00PM ET,DET,21.26
WR,Ja'Marr Chase (40835694),Ja'Marr Chase,40835694,WR/FLEX,8100,NE@CIN 11/23/2025 01:00PM ET,CIN,20.67
WR,Amon-Ra St. Brown (40835696),Amon-Ra St. Brown,40835696,WR/FLEX,8000,NYG@DET 11/23/2025 01:00PM ET,DET,19.44
WR,CeeDee Lamb (40835698),CeeDee Lamb,40835698,WR/FLEX,7900,PHI@DAL 11/23/2025 04:25PM ET,DAL,16.7
RB,Josh Jacobs (40835444),Josh Jacobs,40835444,RB/FLEX,7800,MIN@GB 11/23/2025 01:00PM ET,GB,18.15
WR,Rashee Rice (40835700),Rashee Rice,40835700,WR/FLEX,7700,IND@KC 11/23/2025 01:00PM ET,KC,19.28
RB,Derrick Henry (40835446),Derrick Henry,40835446,RB/FLEX,7600,NYJ@BAL 11/23/2025 01:00PM ET,BAL,15.11
RB,Saquon Barkley (40835448),Saquon Barkley,40835448,RB/FLEX,7500,PHI@DAL 11/23/2025 04:25PM ET,PHI,15.39
WR,Justin Jefferson (40835702),Justin Jefferson,40835702,WR/FLEX,7400,MIN@GB 11/23/2025 01:00PM ET,MIN,14.91
WR,Drake London (40835704),Drake London,40835704,WR/FLEX,7300,ATL@NO 11/23/2025 04:25PM ET,ATL,21.44
WR,Tee Higgins (40835706),Tee Higgins,40835706,WR/FLEX,7100,NE@CIN 11/23/2025 01:00PM ET,CIN,13.64
QB,Drake Maye (40835362),Drake Maye,40835362,QB,6900,NE@CIN 11/23/2025 01:00PM ET,NE,20.92
WR,George Pickens (40835708),George Pickens,40835708,WR/FLEX,6900,PHI@DAL 11/23/2025 04:25PM ET,DAL,19.98
QB,Patrick Mahomes (40835363),Patrick Mahomes,40835363,QB,6800,IND@KC 11/23/2025 01:00PM ET,KC,22.88
TE,Trey McBride (40836102),Trey McBride,40836102,TE/FLEX,6800,JAX@ARI 11/23/2025 04:05PM ET,ARI,19.08
QB,Lamar Jackson (40835364),Lamar Jackson,40835364,QB,6700,NYJ@BAL 11/23/2025 01:00PM ET,BAL,20.61
RB,TreVeyon Henderson (40835450),TreVeyon Henderson,40835450,RB/FLEX,6700,NE@CIN 11/23/2025 01:00PM ET,NE,11.79
RB,Jaylen Warren (40835452),Jaylen Warren,40835452,RB/FLEX,6600,PIT@CHI 11/23/2025 01:00PM ET,PIT,13.5
QB,Jalen Hurts (40835365),Jalen Hurts,40835365,QB,6600,PHI@DAL 11/23/2025 04:25PM ET,PHI,20.63
QB,Joe Burrow (40835366),Joe Burrow,40835366,QB,6500,NE@CIN 11/23/2025 01:00PM ET,CIN,7.93
WR,Stefon Diggs (40835710),Stefon Diggs,40835710,WR/FLEX,6500,NE@CIN 11/23/2025 01:00PM ET,NE,13.81
RB,Javonte Williams (40835454),Javonte Williams,40835454,RB/FLEX,6500,PHI@DAL 11/23/2025 04:25PM ET,DAL,17.42
QB,Dak Prescott (40835367),Dak Prescott,40835367,QB,6400,PHI@DAL 11/23/2025 04:25PM ET,DAL,20.62
WR,Chris Olave (40835712),Chris Olave,40835712,WR/FLEX,6400,ATL@NO 11/23/2025 04:25PM ET,NO,15.21
WR,Zay Flowers (40835714),Zay Flowers,40835714,WR/FLEX,6300,NYJ@BAL 11/23/2025 01:00PM ET,BAL,13.44
RB,Ashton Jeanty (40835456),Ashton Jeanty,40835456,RB/FLEX,6300,CLE@LV 11/23/2025 04:05PM ET,LV,14.47
RB,Chase Brown (40835458),Chase Brown,40835458,RB/FLEX,6200,NE@CIN 11/23/2025 01:00PM ET,CIN,13.68
QB,Daniel Jones (40835368),Daniel Jones,40835368,QB,6200,IND@KC 11/23/2025 01:00PM ET,IND,20.87
WR,Brian Thomas Jr. (40835716),Brian Thomas Jr.,40835716,WR/FLEX,6200,JAX@ARI 11/23/2025 04:05PM ET,JAX,10.7
RB,Breece Hall (40835460),Breece Hall,40835460,RB/FLEX,6100,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,14.90
WR,Rome Odunze (40835718),Rome Odunze,40835718,WR/FLEX,6100,PIT@CHI 11/23/2025 01:00PM ET,CHI,14.1
QB,Jared Goff (40835369),Jared Goff,40835369,QB,6000,NYG@DET 11/23/2025 01:00PM ET,DET,18.58
WR,Michael Pittman Jr. (40835720),Michael Pittman Jr.,40835720,WR/FLEX,6000,IND@KC 11/23/2025 01:00PM ET,IND,15.3
RB,Quinshon Judkins (40835462),Quinshon Judkins,40835462,RB/FLEX,6000,CLE@LV 11/23/2025 04:05PM ET,CLE,12.89
TE,Brock Bowers (40836104),Brock Bowers,40836104,TE/FLEX,6000,CLE@LV 11/23/2025 04:05PM ET,LV,15.81
RB,Travis Etienne Jr. (40835464),Travis Etienne Jr.,40835464,RB/FLEX,5900,JAX@ARI 11/23/2025 04:05PM ET,JAX,14.89
WR,A.J. Brown (40835722),A.J. Brown,40835722,WR/FLEX,5900,PHI@DAL 11/23/2025 04:25PM ET,PHI,11.97
RB,Tyrone Tracy Jr. (40835466),Tyrone Tracy Jr.,40835466,RB/FLEX,5800,NYG@DET 11/23/2025 01:00PM ET,NYG,7.93
QB,Jordan Love (40835370),Jordan Love,40835370,QB,5800,MIN@GB 11/23/2025 01:00PM ET,GB,17.63
WR,Marvin Harrison Jr. (40835724),Marvin Harrison Jr.,40835724,WR/FLEX,5800,JAX@ARI 11/23/2025 04:05PM ET,ARI,12.5
QB,Caleb Williams (40835371),Caleb Williams,40835371,QB,5700,PIT@CHI 11/23/2025 01:00PM ET,CHI,19.66
WR,Jameson Williams (40835726),Jameson Williams,40835726,WR/FLEX,5700,NYG@DET 11/23/2025 01:00PM ET,DET,12.42
RB,Aaron Jones Sr. (40835468),Aaron Jones Sr.,40835468,RB/FLEX,5700,MIN@GB 11/23/2025 01:00PM ET,MIN,10.3
RB,D'Andre Swift (40835470),D'Andre Swift,40835470,RB/FLEX,5600,PIT@CHI 11/23/2025 01:00PM ET,CHI,15.82
QB,Jaxson Dart (40835372),Jaxson Dart,40835372,QB,5600,NYG@DET 11/23/2025 01:00PM ET,NYG,18.38
WR,DeVonta Smith (40835728),DeVonta Smith,40835728,WR/FLEX,5600,PHI@DAL 11/23/2025 04:25PM ET,PHI,13.95
RB,Kenneth Gainwell (40835474),Kenneth Gainwell,40835474,RB/FLEX,5500,PIT@CHI 11/23/2025 01:00PM ET,PIT,10.98
QB,Joe Flacco (40835373),Joe Flacco,40835373,QB,5500,NE@CIN 11/23/2025 01:00PM ET,CIN,17.06
WR,Wan'Dale Robinson (40835730),Wan'Dale Robinson,40835730,WR/FLEX,5500,NYG@DET 11/23/2025 01:00PM ET,NYG,12.36
TE,Tyler Warren (40836106),Tyler Warren,40836106,TE/FLEX,5500,IND@KC 11/23/2025 01:00PM ET,IND,13.63
RB,Alvin Kamara (40835472),Alvin Kamara,40835472,RB/FLEX,5500,ATL@NO 11/23/2025 04:25PM ET,NO,9.92
WR,Jordan Addison (40835732),Jordan Addison,40835732,WR/FLEX,5400,MIN@GB 11/23/2025 01:00PM ET,MIN,13.54
QB,Sam Darnold (40835374),Sam Darnold,40835374,QB,5400,SEA@TEN 11/23/2025 01:00PM ET,SEA,16.66
RB,Kenneth Walker III (40835478),Kenneth Walker III,40835478,RB/FLEX,5400,SEA@TEN 11/23/2025 01:00PM ET,SEA,11.43
RB,Trey Benson (40835476),Trey Benson,40835476,RB/FLEX,5400,JAX@ARI 11/23/2025 04:05PM ET,ARI,8.85
WR,DK Metcalf (40835734),DK Metcalf,40835734,WR/FLEX,5300,PIT@CHI 11/23/2025 01:00PM ET,PIT,12.51
RB,David Montgomery (40835480),David Montgomery,40835480,RB/FLEX,5300,NYG@DET 11/23/2025 01:00PM ET,DET,11.40
