Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Jaxon Smith-Njigba (41282066),Jaxon Smith-Njigba,41282066,WR/FLEX,8600,SEA@CAR 12/28/2025 01:00PM ET,SEA,23.82
RB,De'Von Achane (41281850),De'Von Achane,41281850,RB/FLEX,8500,TB@MIA 12/28/2025 01:00PM ET,MIA,21.37
WR,Ja'Marr Chase (41282068),Ja'Marr Chase,41282068,WR/FLEX,8300,ARI@CIN 12/28/2025 01:00PM ET,CIN,20.5
RB,James Cook III (41281852),James Cook III,41281852,RB/FLEX,8000,PHI@BUF 12/28/2025 04:25PM ET,BUF,21.47
RB,Jonathan Taylor (41281854),Jonathan Taylor,41281854,RB/FLEX,7800,JAX@IND 12/28/2025 01:00PM ET,IND,23.67
RB,Saquon Barkley (41281856),Saquon Barkley,41281856,RB/FLEX,7600,PHI@BUF 12/28/2025 04:25PM ET,PHI,15.7
TE,Trey McBride (41282422),Trey McBride,41282422,TE/FLEX,7500,ARI@CIN 12/28/2025 01:00PM ET,ARI,19.19
RB,Chase Brown (41281858),Chase Brown,41281858,RB/FLEX,7400,ARI@CIN 12/28/2025 01:00PM ET,CIN,16.03
WR,Chris Olave (41282070),Chris Olave,41282070,WR/FLEX,7200,NO@TEN 12/28/2025 01:00PM ET,NO,16.61
RB,Travis Etienne Jr. (41281860),Travis Etienne Jr.,41281860,RB/FLEX,7100,JAX@IND 12/28/2025 01:00PM ET,JAX,16.26
QB,Josh Allen (41281786),Josh Allen,41281786,QB,7000,PHI@BUF 12/28/2025 04:25PM ET,BUF,24.16
WR,A.J. Brown (41282072),A.J. Brown,41282072,WR/FLEX,7000,PHI@BUF 12/28/2025 04:25PM ET,PHI,15.96
QB,Drake Maye (41281787),Drake Maye,41281787,QB,6800,NE@NYJ 12/28/2025 01:00PM ET,NE,21.18
RB,Jaylen Warren (41281862),Jaylen Warren,41281862,RB/FLEX,6600,PIT@CLE 12/28/2025 01:00PM ET,PIT,14.41
QB,Jalen Hurts (41281788),Jalen Hurts,41281788,QB,6600,PHI@BUF 12/28/2025 04:25PM ET,PHI,20.21
QB,Joe Burrow (41281789),Joe Burrow,41281789,QB,6500,ARI@CIN 12/28/2025 01:00PM ET,CIN,16.65
WR,Mike Evans (41282074),Mike Evans,41282074,WR/FLEX,6500,TB@MIA 12/28/2025 01:00PM ET,TB,11.72
WR,Michael Wilson (41282076),Michael Wilson,41282076,WR/FLEX,6400,ARI@CIN 12/28/2025 01:00PM ET,ARI,12.59
RB,TreVeyon Henderson (41281864),TreVeyon Henderson,41281864,RB/FLEX,6400,NE@NYJ 12/28/2025 01:00PM ET,NE,12.51
WR,Tee Higgins (41282078),Tee Higgins,41282078,WR/FLEX,6300,ARI@CIN 12/28/2025 01:00PM ET,CIN,14.31
RB,Bucky Irving (41281866),Bucky Irving,41281866,RB/FLEX,6200,TB@MIA 12/28/2025 01:00PM ET,TB,15.42
RB,Ashton Jeanty (41281868),Ashton Jeanty,41281868,RB/FLEX,6100,NYG@LV 12/28/2025 04:05PM ET,LV,15.36
QB,Trevor Lawrence (41281790),Trevor Lawrence,41281790,QB,6100,JAX@IND 12/28/2025 01:00PM ET,JAX,20.58
WR,Jaylen Waddle (41282080),Jaylen Waddle,41282080,WR/FLEX,6100,TB@MIA 12/28/2025 01:00PM ET,MIA,13.10
RB,Rico Dowdle (41281870),Rico Dowdle,41281870,RB/FLEX,6000,SEA@CAR 12/28/2025 01:00PM ET,CAR,14.2
WR,DeVonta Smith (41282082),DeVonta Smith,41282082,WR/FLEX,6000,PHI@BUF 12/28/2025 04:25PM ET,PHI,13.01
QB,Sam Darnold (41281791),Sam Darnold,41281791,QB,5900,SEA@CAR 12/28/2025 01:00PM ET,SEA,16.30
WR,Tetairoa McMillan (41282084),Tetairoa McMillan,41282084,WR/FLEX,5900,SEA@CAR 12/28/2025 01:00PM ET,CAR,13.69
RB,Rhamondre Stevenson (41281872),Rhamondre Stevenson,41281872,RB/FLEX,5900,NE@NYJ 12/28/2025 01:00PM ET,NE,9.94
RB,Kenneth Walker III (41281874),Kenneth Walker III,41281874,RB/FLEX,5800,SEA@CAR 12/28/2025 01:00PM ET,SEA,11.53
WR,Stefon Diggs (41282086),Stefon Diggs,41282086,WR/FLEX,5800,NE@NYJ 12/28/2025 01:00PM ET,NE,12.86
QB,Jacoby Brissett (41281792),Jacoby Brissett,41281792,QB,5700,ARI@CIN 12/28/2025 01:00PM ET,ARI,18.11
WR,Wan'Dale Robinson (41282088),Wan'Dale Robinson,41282088,WR/FLEX,5700,NYG@LV 12/28/2025 04:05PM ET,NYG,13.44
RB,Breece Hall (41281876),Breece Hall,41281876,RB/FLEX,5700,NE@NYJ 12/28/2025 01:00PM ET,NYJ,13.18
RB,Kenneth Gainwell (41281878),Kenneth Gainwell,41281878,RB/FLEX,5600,PIT@CLE 12/28/2025 01:00PM ET,PIT,12.94
WR,DK Metcalf (41282090),DK Metcalf,41282090,WR/FLEX,5600,PIT@CLE 12/28/2025 01:00PM ET,PIT,12.88
QB,Baker Mayfield (41281793),Baker Mayfield,41281793,QB,5600,TB@MIA 12/28/2025 01:00PM ET,TB,16.95
TE,Brock Bowers (41282424),Brock Bowers,41282424,TE/FLEX,5500,NYG@LV 12/28/2025 04:05PM ET,LV,15.18
WR,Emeka Egbuka (41282092),Emeka Egbuka,41282092,WR/FLEX,5500,TB@MIA 12/28/2025 01:00PM ET,TB,13.19
RB,Alvin Kamara (41281880),Alvin Kamara,41281880,RB/FLEX,5500,NO@TEN 12/28/2025 01:00PM ET,NO,9.34
RB,Tony Pollard (41281882),Tony Pollard,41281882,RB/FLEX,5500,NO@TEN 12/28/2025 01:00PM ET,TEN,11.79
