Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (41370969),Christian McCaffrey,41370969,RB/FLEX,8800,SEA@SF 01/03/2026 08:00PM ET,SF,26.06
WR,Jaxon Smith-Njigba (41371021),Jaxon Smith-Njigba,41371021,WR/FLEX,8600,SEA@SF 01/03/2026 08:00PM ET,SEA,23.34
QB,Brock Purdy (41370956),Brock Purdy,41370956,QB,6300,SEA@SF 01/03/2026 08:00PM ET,SF,23.65
WR,Mike Evans (41371023),Mike Evans,41371023,WR/FLEX,6300,CAR@TB 01/03/2026 04:30PM ET,TB,11.77
RB,Bucky Irving (41370971),Bucky Irving,41370971,RB/FLEX,6100,CAR@TB 01/03/2026 04:30PM ET,TB,14.63
TE,George Kittle (41371103),George Kittle,41371103,TE/FLEX,6000,SEA@SF 01/03/2026 08:00PM ET,SF,15.66
RB,Rico Dowdle (41370973),Rico Dowdle,41370973,RB/FLEX,5900,CAR@TB 01/03/2026 04:30PM ET,CAR,13.89
QB,Sam Darnold (41370957),Sam Darnold,41370957,QB,5800,SEA@SF 01/03/2026 08:00PM ET,SEA,15.79
WR,Tetairoa McMillan (41371025),Tetairoa McMillan,41371025,WR/FLEX,5800,CAR@TB 01/03/2026 04:30PM ET,CAR,12.93
RB,Kenneth Walker III (41370975),Kenneth Walker III,41370975,RB/FLEX,5700,SEA@SF 01/03/2026 08:00PM ET,SEA,11.29
RB,Zach Charbonnet (41370977),Zach Charbonnet,41370977,RB/FLEX,5600,SEA@SF 01/03/2026 08:00PM ET,SEA,11.05
WR,Jauan Jennings (41371027),Jauan Jennings,41371027,WR/FLEX,5600,SEA@SF 01/03/2026 08:00PM ET,SF,11.91
QB,Baker Mayfield (41370958),Baker Mayfield,41370958,QB,5600,CAR@TB 01/03/2026 04:30PM ET,TB,17.36
WR,Chris Godwin Jr. (41371029),Chris Godwin Jr.,41371029,WR/FLEX,5300,CAR@TB 01/03/2026 04:30PM ET,TB,10.52
WR,Emeka Egbuka (41371031),Emeka Egbuka,41371031,WR/FLEX,5200,CAR@TB 01/03/2026 04:30PM ET,TB,12.68
WR,Ricky Pearsall (41371033),Ricky Pearsall,41371033,WR/FLEX,5100,SEA@SF 01/03/2026 08:00PM ET,SF,10.51
RB,Brian Robinson Jr. (41370979),Brian Robinson Jr.,41370979,RB/FLEX,5000,SEA@SF 01/03/2026 08:00PM ET,SF,3.85
QB,Bryce Young (41370959),Bryce Young,41370959,QB,4800,CAR@TB 01/03/2026 04:30PM ET,CAR,14.77
RB,Rachaad White (41370981),Rachaad White,41370981,RB/FLEX,4600,CAR@TB 01/03/2026 04:30PM ET,TB,8.56
WR,Rashid Shaheed (41371035),Rashid Shaheed,41371035,WR/FLEX,4400,SEA@SF 01/03/2026 08:00PM ET,SEA,9.38
RB,Chuba Hubbard (41370983),Chuba Hubbard,41370983,RB/FLEX,4400,CAR@TB 01/03/2026 04:30PM ET,CAR,8.76
WR,Jalen Coker (41371037),Jalen Coker,41371037,WR/FLEX,4300,CAR@TB 01/03/2026 04:30PM ET,CAR,7.47
WR,Jalen McMillan (41371039),Jalen McMillan,41371039,WR/FLEX,4200,CAR@TB 01/03/2026 04:30PM ET,TB,10.27
RB,Sean Tucker (41370985),Sean Tucker,41370985,RB/FLEX,4100,CAR@TB 01/03/2026 04:30PM ET,TB,5.92
QB,Mac Jones (41370961),Mac Jones,41370961,QB,4000,SEA@SF 01/03/2026 08:00PM ET,SF,13.37
QB,Drew Lock (41370965),Drew Lock,41370965,QB,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,0.02
QB,Jalen Milroe (41370966),Jalen Milroe,41370966,QB,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,-0.2
QB,Kurtis Rourke (41370967),Kurtis Rourke,41370967,QB,4000,SEA@SF 01/03/2026 08:00PM ET,SF,0
QB,Adrian Martinez (41370968),Adrian Martinez,41370968,QB,4000,SEA@SF 01/03/2026 08:00PM ET,SF,-0.1
RB,Cam Akers (41371001),Cam Akers,41371001,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,1.44
RB,George Holani (41371003),George Holani,41371003,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,1.44
RB,Kenny McIntosh (41371005),Kenny McIntosh,41371005,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,0
RB,Robbie Ouzts (41371007),Robbie Ouzts,41371007,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,0
RB,Brady Russell (41371009),Brady Russell,41371009,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,0
RB,Velus Jones Jr. (41371011),Velus Jones Jr.,41371011,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SEA,0.4
RB,Jordan James (41371013),Jordan James,41371013,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SF,0
RB,Isaac Guerendo (41371015),Isaac Guerendo,41371015,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SF,0
RB,Patrick Taylor Jr. (41371017),Patrick Taylor Jr.,41371017,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SF,0
RB,Kyle Juszczyk (41371019),Kyle Juszczyk,41371019,RB/FLEX,4000,SEA@SF 01/03/2026 08:00PM ET,SF,3.47
QB,Andy Dalton (41370960),Andy Dalton,41370960,QB,4000,CAR@TB 01/03/2026 04:30PM ET,CAR,3.13
QB,Mike White (41370962),Mike White,41370962,QB,4000,CAR@TB 01/03/2026 04:30PM ET,CAR,0
QB,Teddy Bridgewater (41370963),Teddy Bridgewater,41370963,QB,4000,CAR@TB 01/03/2026 04:30PM ET,TB,0.72
QB,Connor Bazelak (41370964),Connor Bazelak,41370964,QB,4000,CAR@TB 01/03/2026 04:30PM ET,TB,0
RB,Trevor Etienne (41370987),Trevor Etienne,41370987,RB/FLEX,4000,CAR@TB 01/03/2026 04:30PM ET,CAR,0.79
RB,Jonathon Brooks (41370989),Jonathon Brooks,41370989,RB/FLEX,4000,CAR@TB 01/03/2026 04:30PM ET,CAR,0
RB,Anthony Tyus III (41370991),Anthony Tyus III,41370991,RB/FLEX,4000,CAR@TB 01/03/2026 04:30PM ET,CAR,0
RB,Montrell Johnson Jr. (41370993),Montrell Johnson Jr.,41370993,RB/FLEX,4000,CAR@TB 01/03/2026 04:30PM ET,CAR,0
RB,Josh Williams (41370995),Josh Williams,41370995,RB/FLEX,4000,CAR@TB 01/03/2026 04:30PM ET,TB,0.37
RB,Michael Wiley (41370997),Michael Wiley,41370997,RB/FLEX,4000,CAR@TB 01/03/2026 04:30PM ET,TB,0
RB,Owen Wright (41370999),Owen Wright,41370999,RB/FLEX,4000,CAR@TB 01/03/2026 04:30PM ET,TB,0.2
WR,Kendrick Bourne (41371041),Kendrick Bourne,41371041,WR/FLEX,3800,SEA@SF 01/03/2026 08:00PM ET,SF,6.54
TE,AJ Barner (41371105),AJ Barner,41371105,TE/FLEX,3700,SEA@SF 01/03/2026 08:00PM ET,SEA,8.99
WR,Cooper Kupp (41371043),Cooper Kupp,41371043,WR/FLEX,3600,SEA@SF 01/03/2026 08:00PM ET,SEA,7.56
