Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Puka Nacua (41434727),Puka Nacua,41434727,WR/FLEX,8700,LAR@CAR 01/10/2026 04:30PM ET,LAR,24.62
QB,Matthew Stafford (41434670),Matthew Stafford,41434670,QB,6900,LAR@CAR 01/10/2026 04:30PM ET,LAR,21.96
WR,Davante Adams (41434729),Davante Adams,41434729,WR/FLEX,6500,LAR@CAR 01/10/2026 04:30PM ET,LAR,16.14
RB,Kyren Williams (41434683),Kyren Williams,41434683,RB/FLEX,6400,LAR@CAR 01/10/2026 04:30PM ET,LAR,15.78
RB,Josh Jacobs (41434685),Josh Jacobs,41434685,RB/FLEX,6300,GB@CHI 01/10/2026 08:00PM ET,GB,15.94
WR,Tetairoa McMillan (41434731),Tetairoa McMillan,41434731,WR/FLEX,6000,LAR@CAR 01/10/2026 04:30PM ET,CAR,12.85
WR,Rome Odunze (41434733),Rome Odunze,41434733,WR/FLEX,5800,GB@CHI 01/10/2026 08:00PM ET,CHI,12.68
RB,D'Andre Swift (41434687),D'Andre Swift,41434687,RB/FLEX,5700,GB@CHI 01/10/2026 08:00PM ET,CHI,14.98
QB,Caleb Williams (41434671),Caleb Williams,41434671,QB,5600,GB@CHI 01/10/2026 08:00PM ET,CHI,19.39
RB,Rico Dowdle (41434689),Rico Dowdle,41434689,RB/FLEX,5500,LAR@CAR 01/10/2026 04:30PM ET,CAR,13.31
RB,Blake Corum (41434691),Blake Corum,41434691,RB/FLEX,5400,LAR@CAR 01/10/2026 04:30PM ET,LAR,7.36
QB,Jordan Love (41434672),Jordan Love,41434672,QB,5300,GB@CHI 01/10/2026 08:00PM ET,GB,16.61
RB,Emanuel Wilson (41434693),Emanuel Wilson,41434693,RB/FLEX,5300,GB@CHI 01/10/2026 08:00PM ET,GB,5.74
WR,DJ Moore (41434735),DJ Moore,41434735,WR/FLEX,5300,GB@CHI 01/10/2026 08:00PM ET,CHI,10.07
RB,Kyle Monangai (41434695),Kyle Monangai,41434695,RB/FLEX,5200,GB@CHI 01/10/2026 08:00PM ET,CHI,8.98
QB,Bryce Young (41434673),Bryce Young,41434673,QB,5000,LAR@CAR 01/10/2026 04:30PM ET,CAR,14.94
WR,Christian Watson (41434737),Christian Watson,41434737,WR/FLEX,4900,GB@CHI 01/10/2026 08:00PM ET,GB,13.54
WR,Luther Burden III (41434739),Luther Burden III,41434739,WR/FLEX,4600,GB@CHI 01/10/2026 08:00PM ET,CHI,8.93
RB,Chuba Hubbard (41434697),Chuba Hubbard,41434697,RB/FLEX,4500,LAR@CAR 01/10/2026 04:30PM ET,CAR,8.43
WR,Jalen Coker (41434741),Jalen Coker,41434741,WR/FLEX,4500,LAR@CAR 01/10/2026 04:30PM ET,CAR,8.31
WR,Romeo Doubs (41434743),Romeo Doubs,41434743,WR/FLEX,4400,GB@CHI 01/10/2026 08:00PM ET,GB,10.34
TE,Colston Loveland (41434799),Colston Loveland,41434799,TE/FLEX,4400,GB@CHI 01/10/2026 08:00PM ET,CHI,10.51
RB,Chris Brooks (41434699),Chris Brooks,41434699,RB/FLEX,4300,GB@CHI 01/10/2026 08:00PM ET,GB,1.92
QB,Malik Willis (41434674),Malik Willis,41434674,QB,4000,GB@CHI 01/10/2026 08:00PM ET,GB,13.04
QB,Tyson Bagent (41434675),Tyson Bagent,41434675,QB,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0.86
QB,Clayton Tune (41434680),Clayton Tune,41434680,QB,4000,GB@CHI 01/10/2026 08:00PM ET,GB,1.49
QB,Desmond Ridder (41434681),Desmond Ridder,41434681,QB,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
QB,Case Keenum (41434682),Case Keenum,41434682,QB,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0
RB,MarShawn Lloyd (41434713),MarShawn Lloyd,41434713,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
RB,Pierre Strong Jr. (41434715),Pierre Strong Jr.,41434715,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
RB,Damien Martinez (41434717),Damien Martinez,41434717,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
RB,Travis Homer (41434719),Travis Homer,41434719,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,-0.02
RB,Roschon Johnson (41434721),Roschon Johnson,41434721,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0.24
RB,Deion Hankins (41434723),Deion Hankins,41434723,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0
RB,Brittain Brown (41434725),Brittain Brown,41434725,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,3.23
WR,Jayden Reed (41434745),Jayden Reed,41434745,WR/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,6.93
QB,Andy Dalton (41434676),Andy Dalton,41434676,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,3.13
QB,Mike White (41434677),Mike White,41434677,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
QB,Jimmy Garoppolo (41434678),Jimmy Garoppolo,41434678,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,-0.33
QB,Stetson Bennett IV (41434679),Stetson Bennett IV,41434679,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
RB,Trevor Etienne (41434701),Trevor Etienne,41434701,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0.75
RB,Jonathon Brooks (41434703),Jonathon Brooks,41434703,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
RB,Anthony Tyus III (41434705),Anthony Tyus III,41434705,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
RB,Montrell Johnson Jr. (41434707),Montrell Johnson Jr.,41434707,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
RB,Ronnie Rivers (41434709),Ronnie Rivers,41434709,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0.42
RB,Jarquez Hunter (41434711),Jarquez Hunter,41434711,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
WR,Matthew Golden (41434747),Matthew Golden,41434747,WR/FLEX,3700,GB@CHI 01/10/2026 08:00PM ET,GB,5
TE,Colby Parkinson (41434801),Colby Parkinson,41434801,TE/FLEX,3700,LAR@CAR 01/10/2026 04:30PM ET,LAR,8.72
WR,Dontayvion Wicks (41434749),Dontayvion Wicks,41434749,WR/FLEX,3500,GB@CHI 01/10/2026 08:00PM ET,GB,5.41
DST,Rams  (41434845),Rams ,41434845,DST,3500,LAR@CAR 01/10/2026 04:30PM ET,LAR,8.06
WR,Olamide Zaccheaus (41434751),Olamide Zaccheaus,41434751,WR/FLEX,3400,GB@CHI 01/10/2026 08:00PM ET,CHI,5.3
WR,Xavier Legette (41434753),Xavier Legette,41434753,WR/FLEX,3300,LAR@CAR 01/10/2026 04:30PM ET,CAR,5.95
WR,Tutu Atwell (41434755),Tutu Atwell,41434755,WR/FLEX,3200,LAR@CAR 01/10/2026 04:30PM ET,LAR,3.12
TE,Tyler Higbee (41434803),Tyler Higbee,41434803,TE/FLEX,3200,LAR@CAR 01/10/2026 04:30PM ET,LAR,7.11
WR,Jahdae Walker (41434757),Jahdae Walker,41434757,WR/FLEX,3100,GB@CHI 01/10/2026 08:00PM ET,CHI,2.97
WR,Devin Duvernay (41434761),Devin Duvernay,41434761,WR/FLEX,3000,GB@CHI 01/10/2026 08:00PM ET,CHI,0.27
WR,Jakobie Keeney-James (41434787),Jakobie Keeney-James,41434787,WR/FLEX,3000,GB@CHI 01/10/2026 08:00PM ET,GB,3.5
WR,Savion Williams (41434789),Savion Williams,41434789,WR/FLEX,3000,GB@CHI 01/10/2026 08:00PM ET,GB,2.21
WR,Will Sheppard (41434791),Will Sheppard,41434791,WR/FLEX,3000,GB@CHI 01/10/2026 08:00PM ET,GB,0
WR,Isaiah Neyor (41434793),Isaiah Neyor,41434793,WR/FLEX,3000,GB@CHI 01/10/2026 08:00PM ET,GB,0
WR,JP Richardson (41434795),JP Richardson,41434795,WR/FLEX,3000,GB@CHI 01/10/2026 08:00PM ET,CHI,0
WR,Maurice Alexander (41434797),Maurice Alexander,41434797,WR/FLEX,3000,GB@CHI 01/10/2026 08:00PM ET,CHI,0
WR,Konata Mumpfield (41434759),Konata Mumpfield,41434759,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,LAR,1.48
WR,Jimmy Horn Jr. (41434763),Jimmy Horn Jr.,41434763,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,CAR,2.05
WR,Brycen Tremayne (41434765),Brycen Tremayne,41434765,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,CAR,1.88
WR,Hunter Renfrow (41434767),Hunter Renfrow,41434767,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,CAR,5.98
WR,David Moore (41434769),David Moore,41434769,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0.68
WR,Ja'seem Reed (41434771),Ja'seem Reed,41434771,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
WR,Ainias Smith (41434773),Ainias Smith,41434773,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
WR,Dan Chisena (41434775),Dan Chisena,41434775,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
WR,Xavier Smith (41434777),Xavier Smith,41434777,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,LAR,3.02
WR,Jordan Whittington (41434779),Jordan Whittington,41434779,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,LAR,2.14
WR,Tyler Scott (41434781),Tyler Scott,41434781,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
WR,Brennan Presley (41434783),Brennan Presley,41434783,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
WR,Tru Edwards (41434785),Tru Edwards,41434785,WR/FLEX,3000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
TE,Cole Kmet (41434805),Cole Kmet,41434805,TE/FLEX,2900,GB@CHI 01/10/2026 08:00PM ET,CHI,4.92
DST,Packers  (41434846),Packers ,41434846,DST,2800,GB@CHI 01/10/2026 08:00PM ET,GB,4.65
TE,Tommy Tremble (41434807),Tommy Tremble,41434807,TE/FLEX,2800,LAR@CAR 01/10/2026 04:30PM ET,CAR,3.76
TE,Terrance Ferguson (41434809),Terrance Ferguson,41434809,TE/FLEX,2700,LAR@CAR 01/10/2026 04:30PM ET,LAR,3.72
TE,Luke Musgrave (41434811),Luke Musgrave,41434811,TE/FLEX,2600,GB@CHI 01/10/2026 08:00PM ET,GB,2.89
TE,Josh Whyle (41434829),Josh Whyle,41434829,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,GB,1.82
TE,Drake Dabney (41434831),Drake Dabney,41434831,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,GB,0.65
TE,Tucker Kraft (41434833),Tucker Kraft,41434833,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,GB,15.4
TE,John FitzPatrick (41434835),John FitzPatrick,41434835,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,GB,1.68
TE,Durham Smythe (41434837),Durham Smythe,41434837,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,CHI,0.38
TE,Nikola Kalinic (41434839),Nikola Kalinic,41434839,TE/FLEX,2500,GB@CHI 01/10/2026 08:00PM ET,CHI,0
